0.26666666666666666,0.0
0.26666666666666666,0.1
0.7,0.2
0.8666666666666667,0.30000000000000004
0.8666666666666667,0.4
0.8666666666666667,0.5
0.8666666666666667,0.6
0.8666666666666667,0.7
0.9,0.7999999999999999
0.9,0.8999999999999999
0.9,0.9999999999999999
0.9,1.0999999999999999
0.9,1.2
0.9,1.3
0.9,1.4000000000000001
0.9,1.5000000000000002
0.8666666666666667,1.6000000000000003
0.8666666666666667,1.7000000000000004
0.8666666666666667,1.8000000000000005
0.8666666666666667,1.9000000000000006
0.8666666666666667,2.0000000000000004
0.8666666666666667,2.1000000000000005
0.8666666666666667,2.2000000000000006
0.8666666666666667,2.3000000000000007
0.8666666666666667,2.400000000000001
0.8666666666666667,2.500000000000001
0.8333333333333334,2.600000000000001
0.8,2.700000000000001
0.7666666666666667,2.800000000000001
0.7666666666666667,2.9000000000000012
0.7666666666666667,3.0000000000000013
0.7666666666666667,3.1000000000000014
0.7666666666666667,3.2000000000000015
0.7666666666666667,3.3000000000000016
0.7666666666666667,3.4000000000000017
0.7666666666666667,3.5000000000000018
0.7666666666666667,3.600000000000002
0.7666666666666667,3.700000000000002
0.7666666666666667,3.800000000000002
0.7666666666666667,3.900000000000002
0.7666666666666667,4.000000000000002
0.7666666666666667,4.100000000000001
0.7666666666666667,4.200000000000001
0.7666666666666667,4.300000000000001
0.7666666666666667,4.4
0.7666666666666667,4.5
0.7666666666666667,4.6
0.7666666666666667,4.699999999999999
0.7666666666666667,4.799999999999999
0.7666666666666667,4.899999999999999
0.7666666666666667,4.999999999999998
0.7666666666666667,5.099999999999998
0.7666666666666667,5.1999999999999975
0.7666666666666667,5.299999999999997
0.7666666666666667,5.399999999999997
0.7666666666666667,5.4999999999999964
0.7666666666666667,5.599999999999996
0.7666666666666667,5.699999999999996
0.7333333333333333,5.799999999999995
0.7333333333333333,5.899999999999995
0.7333333333333333,5.999999999999995
0.7333333333333333,6.099999999999994
0.7333333333333333,6.199999999999994
0.7333333333333333,6.299999999999994
0.7333333333333333,6.399999999999993
0.7333333333333333,6.499999999999993
0.7333333333333333,6.5999999999999925
0.7333333333333333,6.699999999999992
0.7333333333333333,6.799999999999992
0.7333333333333333,6.8999999999999915
0.7333333333333333,6.999999999999991
0.7,7.099999999999991
0.7,7.19999999999999
0.7,7.29999999999999
0.7,7.39999999999999
0.7,7.499999999999989
0.7,7.599999999999989
0.7,7.699999999999989
0.7,7.799999999999988
0.7,7.899999999999988
0.7,7.999999999999988
0.7,8.099999999999987
0.7,8.199999999999987
0.7,8.299999999999986
0.7,8.399999999999986
0.7,8.499999999999986
0.7,8.599999999999985
0.7,8.699999999999985
0.7,8.799999999999985
0.7,8.899999999999984
0.7,8.999999999999984
0.7,9.099999999999984
0.7,9.199999999999983
0.7,9.299999999999983
0.7,9.399999999999983
0.7,9.499999999999982
0.7,9.599999999999982
0.7,9.699999999999982
0.7,9.799999999999981
0.7,9.89999999999998
0.7,9.99999999999998
0.7,10.09999999999998
0.7,10.19999999999998
0.7,10.29999999999998
0.7,10.399999999999979
0.7,10.499999999999979
0.7,10.599999999999978
0.7,10.699999999999978
0.7,10.799999999999978
0.7,10.899999999999977
0.7,10.999999999999977
0.7,11.099999999999977
0.7,11.199999999999976
0.7,11.299999999999976
0.7,11.399999999999975
0.7,11.499999999999975
0.7,11.599999999999975
0.7,11.699999999999974
0.7,11.799999999999974
0.7,11.899999999999974
0.7,11.999999999999973
0.7,12.099999999999973
0.7,12.199999999999973
0.7,12.299999999999972
0.7,12.399999999999972
0.7,12.499999999999972
0.7,12.599999999999971
0.7,12.69999999999997
0.7,12.79999999999997
